"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test session statistics functionality.","1439","test_session_statistics","tests.e2e","Tue May 27 09:23:08 EDT 2025","passed","Tue May 27 09:23:09 EDT 2025","TestMem0ConversationFlow","test_mem0_conversation_flow","",""
"Test Mem0 with actual LLM interaction using unique user ID.","7310","test_mem0_with_llm_interaction","tests.integration_mem0","Tue May 27 13:36:00 EDT 2025","passed","Tue May 27 13:36:08 EDT 2025","","test_mem0_debug","",""
"
        Test health check endpoint performance.
        
        Verifies that health checks respond quickly and consistently
        for monitoring and load balancer requirements.
        ","0","test_health_check_performance","tests.qdrant_integration_tests","Wed May 28 13:36:01 EDT 2025","failed","Wed May 28 13:36:01 EDT 2025","TestPerformanceBenchmarks","test_performance_benchmarks","",""
"Test that memories are properly isolated between different users.","16941","test_user_memory_isolation","tests.e2e","Tue May 27 09:23:09 EDT 2025","passed","Tue May 27 09:23:26 EDT 2025","TestMem0ConversationFlow","test_mem0_conversation_flow","",""
"Test health profile field validation.","0","test_health_profile_validation","tests","Tue May 27 15:03:04 EDT 2025","passed","Tue May 27 15:03:04 EDT 2025","TestHealthProfile","test_streamlit_health_coach","",""
"Clean up test collection after tests.","40","test_cleanup_test_collection","tests.integration_mem0","Tue May 27 12:50:06 EDT 2025","passed","Tue May 27 12:50:06 EDT 2025","TestQdrantConnection","test_qdrant_connection","",""
"Test that all Streamlit dependencies can be imported.","0","test_streamlit_dependencies","tests","Tue May 27 15:03:04 EDT 2025","passed","Tue May 27 15:03:04 EDT 2025","TestApplicationComponents","test_streamlit_health_coach","",""
"
        Test user memory isolation.
        
        Verifies that different users have completely isolated
        memory spaces and cannot access each other's conversations.
        ","0","test_user_memory_isolation","tests.qdrant_integration_tests","Wed May 28 13:36:01 EDT 2025","failed","Wed May 28 13:36:01 EDT 2025","TestChatEndpoints","test_chat_endpoints","",""
"Test that memory instance is properly configured.","211","test_memory_configuration","tests.integration","Tue May 27 09:03:39 EDT 2025","passed","Tue May 27 09:03:39 EDT 2025","TestMem0Smoke","test_mem0_smoke","",""
"Test searching for content that doesn't exist.","622","test_search_with_no_results","tests.integration","Tue May 27 09:03:38 EDT 2025","passed","Tue May 27 09:03:39 EDT 2025","TestMem0Smoke","test_mem0_smoke","",""
"
        Test basic health check endpoint.
        
        Verifies that the basic health endpoint returns correct status
        and response format for load balancer health checks.
        ","0","test_basic_health_check","tests.qdrant_integration_tests","Wed May 28 13:36:01 EDT 2025","failed","Wed May 28 13:36:01 EDT 2025","TestHealthEndpoints","test_health_endpoints","",""
"Test that all memory system dependencies can be imported.","127","test_memory_system_imports","tests","Tue May 27 15:03:04 EDT 2025","passed","Tue May 27 15:03:04 EDT 2025","TestMemorySystemIntegration","test_streamlit_health_coach","",""
"Test basic HTTP connectivity to Qdrant service.","74","test_basic_http_connectivity","tests.integration_mem0","Tue May 27 13:15:20 EDT 2025","passed","Tue May 27 13:15:20 EDT 2025","TestQdrantConnection","test_qdrant_connection","",""
"
        Test response time benchmarks for different scenarios.
        
        Measures response times for various conversation types
        and verifies they meet performance requirements.
        ","0","test_response_time_benchmarks","tests.qdrant_integration_tests","Wed May 28 13:36:01 EDT 2025","failed","Wed May 28 13:36:01 EDT 2025","TestPerformanceBenchmarks","test_performance_benchmarks","",""
